Rt,Et,Ret,Qt
0,0.00026,0,0.312
0,0,0,0.312
0.001,0,0.001,0.312
0.035,0.00029,0.03471,0.312
0.021,0,0.021,0.312
0.036,0,0.036,0.312
0.008,0.00298,0.00502,0.3173
0.007,0.0049,0.0021,0.318
0,0.01165,0,0.3142
0.007,0.02699,0,0.312
0,0.01125,0,0.312
0.001,0.0238,0,0.312
0.007,0.03393,0,0.312
0,0.04085,0,0.3082
0,0.05346,0,0.306
0.007,0.04572,0,0.306
0,0.04513,0,0.3097
0,0.03216,0,0.312
0,0.01606,0,0.312
0,0.00778,0,0.312
0.007,0.00256,0.00444,0.312
0,0.00143,0,0.312
0,0.00023,0,0.3068
0,0,0,0.306
0.004,0,0.004,0.3067
0,0,0,0.3105
0.014,0,0.014,0.312
0.008,0.00023,0.00777,0.312
0.007,0.00201,0.00499,0.312
0.043,0,0.043,0.312
0,0.00149,0,0.312
0.007,0.01621,0,0.3098
0,0.04119,0,0.306
0,0.06796,0,0.3052
0.001,0.10401,0,0.3
0.001,0.12051,0,0.2956
0.015,0.12978,0,0.2912
0,0.13079,0,0.2882
0,0.1252,0,0.286
0.021,0.11237,0,0.283
0,0.09891,0,0.283
0,0.0741,0,0.283
0,0.05713,0,0.2845
0,0.03273,0,0.286
0,0.00486,0,0.2882
0,0,0,0.2867
0,0,0,0.283
0,0,0,0.283
0.007,0,0.007,0.283
0,0,0,0.283
0,0,0,0.283
0,0,0,0.283
0,0,0,0.283
0,0,0,0.283
0.015,0.00414,0.01086,0.2838
0,0.0206,0,0.289
0,0.04785,0,0.289
0,0.07387,0,0.289
0,0.09597,0,0.2852
0,0.1046,0,0.283
0,0.11761,0,0.283
0,0.13001,0,0.2792
0,0.1205,0,0.2764
0,0.10303,0,0.272
0,0.09247,0,0.272
0,0.07696,0,0.272
0,0.03563,0,0.272
0,0.01653,0,0.272
0,0,0,0.272
0,0,0,0.272
0,0,0,0.272
0,0,0,0.272
0,0,0,0.272
0,0,0,0.272
0,0,0,0.272
0,0,0,0.2764
0,0,0,0.277
0,0,0,0.277
0,0.00527,0,0.277
0,0.01641,0,0.277
0,0.01853,0,0.277
0.016,0.04184,0,0.2808
0,0.04808,0,0.283
0.014,0.08148,0,0.2815
0,0.09285,0,0.2792
0,0.10979,0,0.277
0.019,0.0746,0,0.277
0,0.06992,0,0.277
0,0.06829,0,0.277
0,0.04237,0,0.277
0,0.03569,0,0.277
0,0.01682,0,0.2751
0,0,0,0.2764
0,0,0,0.277
0,0,0,0.277
0,0,0,0.277
0,0,0,0.277
0,0,0,0.277
0,0,0,0.277
0,0,0,0.277
0,0,0,0.277
0,0,0,0.2778
0,0.00495,0,0.283
0,0.00731,0,0.283
0.108,0.01112,0.09688,0.283
4.083,0.0052,4.0778,0.2905
4.124,0.00878,4.11522,0.2976
0.277,0.02713,0.24987,0.3022
0.944,0.01603,0.92797,0.3022
0.348,0.05838,0.28962,0.3067
0.05,0.10031,0,0.3128
0.008,0.12583,0,0.3278
0.008,0.11044,0,0.3443
0,0.05004,0,0.3665
0,0.03452,0,0.4269
0.008,0.02689,0,0.4525
0,0.00048,0,0.4475
0,0,0,0.4332
0,0,0,0.4265
0,0,0,0.479
0,0,0,0.5506
0,0,0,0.568
0,0,0,0.5524
0.005,0,0.005,0.5266
0.029,0,0.029,0.5025
0.014,0,0.014,0.4806
0.02,0.00875,0.01125,0.4574
0.006,0.04284,0,0.4389
0.009,0.04918,0,0.4217
0,0.1002,0,0.4046
0,0.05816,0,0.3901
0.269,0.05074,0.21826,0.3805
0.01,0.10308,0,0.3684
0,0.1441,0,0.3578
0,0.10014,0,0.3532
0.01,0.08429,0,0.3472
0.001,0.08399,0,0.342
0,0.05249,0,0.3382
0,0.03376,0,0.336
0.186,0.00692,0.17908,0.3323
0.349,0,0.349,0.3278
0.094,0,0.094,0.3233
0,0,0,0.318
0,0,0,0.318
0,0,0,0.318
0,0,0,0.3165
0,0,0,0.318
0,0,0,0.318
0,0,0,0.318
0,0,0,0.318
0.066,0.00126,0.06474,0.318
0.344,0.00741,0.33659,0.318
0.697,0.01235,0.68465,0.318
0.571,0.01684,0.55416,0.318
0.337,0.02188,0.31512,0.318
0.026,0.02775,0,0.318
0.004,0.02608,0,0.318
0.035,0.0134,0.0216,0.318
0.02,0.01591,0.00409,0.318
0.018,0.04177,0,0.3188
0,0.02539,0,0.324
0.073,0.01002,0.06298,0.3263
1.674,0.0096,1.6644,0.3345
0.159,0.00377,0.15523,0.3405
0.107,0.00095,0.10605,0.342
0.018,0,0.018,0.3458
0.009,0,0.009,0.348
0.009,0,0.009,0.3443
0.172,0,0.172,0.3458
0.016,0,0.016,0.348
0.007,0,0.007,0.3502
0.073,0,0.073,0.3562
0,0.00059,0,0.3644
0.013,0.00017,0.01283,0.367
0.002,0.00633,0,0.367
0.01,0.03494,0,0.3626
0,0.05583,0,0.36
0,0.05587,0,0.3585
0,0.06054,0,0.3562
0.02,0.09485,0,0.3532
0,0.12336,0,0.348
0.403,0.02043,0.38257,0.3458
1.143,0.01946,1.12354,0.348
0.345,0.02617,0.31883,0.3487
